frameNo,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17
0,253.3634490966797,281.9242858886719,259.12994384765625,270.4084167480469,233.18064880371094,274.0071105957031,275.7086486816406,264.6504821777344,218.764404296875,285.5229797363281,331.93212890625,302.7967529296875,223.08926391601562,354.61810302734375,422.754638671875,270.4084167480469,148.12466430664062,410.0381774902344,521.506103515625,217.86732482910156,40.72344207763672,474.8149108886719,348.5108337402344,510.80194091796875,275.7086486816406,502.8847961425781,320.39910888671875,671.3042602539062,195.69834899902344,579.8970947265625,286.5208740234375,788.6220092773438,274.26702880859375,650.4317016601562
1,237.97250366210938,286.1553039550781,253.8273162841797,268.8725280761719,225.00039672851562,277.513916015625,273.2854919433594,265.9920959472656,217.79368591308594,287.59552001953125,332.3806457519531,301.2777099609375,220.67637634277344,358.1667175292969,423.9060363769531,265.27197265625,144.28506469726562,414.3356628417969,34.74281311035156,475.5453796386719,40.50819396972656,474.1051940917969,348.2354431152344,508.670654296875,274.726806640625,501.469482421875,321.570556640625,671.41650390625,198.3355255126953,579.2418823242188,274.726806640625,646.2124633789062,274.726806640625,646.9326782226562
2,254.837890625,275.6546630859375,257.0006103515625,263.4155578613281,229.60643005371094,275.6546630859375,273.5812683105469,263.4155578613281,218.07203674316406,289.33367919921875,332.6950378417969,301.5727844238281,225.28103637695312,354.12896728515625,427.8537292480469,252.6163330078125,148.14480590820312,415.32452392578125,37.84721374511719,477.24005126953125,45.777103424072266,470.0405578613281,350.717529296875,506.0379333496094,276.4648742675781,505.3180236816406,315.3934631347656,675.2257080078125,196.445068359375,580.1925659179688,275.7439880371094,645.7078247070312,275.0231018066406,644.2679443359375
3,265.6894836425781,267.5875549316406,266.4095458984375,258.2326354980469,249.12802124023438,266.1483154296875,218.88531494140625,289.89544677734375,220.32545471191406,289.17584228515625,335.5357360839844,298.53076171875,221.04551696777344,358.9779357910156,417.6230773925781,258.2326354980469,417.6230773925781,259.6718444824219,41.02946090698242,476.9938659667969,41.74952697753906,476.9938659667969,352.8172912597656,507.9370422363281,278.6506652832031,500.7409362792969,320.41436767578125,665.531494140625,194.40313720703125,577.7391357421875,274.33026123046875,640.3451538085938,280.09075927734375,647.541259765625
4,213.84732055664062,297.3153076171875,215.28799438476562,285.7939453125,214.5676727294922,285.7939453125,217.44900512695312,292.27471923828125,264.9911193847656,264.9114074707031,226.093017578125,355.6424255371094,326.2196044921875,305.2362976074219,140.37315368652344,424.7708435058594,416.9817810058594,258.43060302734375,42.4075927734375,481.65777587890625,43.127925872802734,480.93768310546875,351.43133544921875,509.0210876464844,280.1181640625,501.1000671386719,319.0162658691406,681.842041015625,197.99996948242188,577.4293823242188,272.1944885253906,639.3568725585938,281.558837890625,649.4381713867188
5,214.1894073486328,298.28289794921875,261.7596740722656,263.750244140625,215.6309356689453,286.0525817871094,216.35169982910156,292.5274658203125,268.96728515625,265.1891174316406,332.394287109375,297.5634460449219,332.394287109375,299.0023193359375,143.55477905273438,423.4637451171875,421.7687683105469,254.39764404296875,41.206634521484375,481.7376403808594,46.2519645690918,477.42108154296875,351.13409423828125,509.07598876953125,279.0579528808594,501.1622314453125,323.0244140625,681.7392578125,196.89114379882812,577.421875,271.850341796875,638.5734252929688,280.4994812011719,647.926025390625
6,220.39759826660156,297.6815490722656,249.23068237304688,273.21954345703125,218.95596313476562,285.4505615234375,267.2513427734375,267.4637756347656,216.07264709472656,292.645263671875,328.5216064453125,299.8399658203125,220.39759826660156,361.7144775390625,415.74163818359375,250.1964569091797,153.36073303222656,422.1500244140625,494.31170654296875,192.63877868652344,54.60749053955078,487.62188720703125,354.47137451171875,507.0476379394531,280.2262268066406,505.6086730957031,321.3133544921875,683.3179931640625,195.16867065429688,578.2752075195312,285.99285888671875,800.5917358398438,278.0637512207031,642.30810546875
7,259.0992736816406,282.01141357421875,260.5411376953125,269.7755126953125,240.35462951660156,275.5335998535156,274.9601135253906,266.1767272949219,218.00523376464844,293.5275573730469,330.47308349609375,297.1263427734375,224.49375915527344,362.6244201660156,414.823974609375,250.342041015625,155.2827911376953,420.9249267578125,49.303466796875,494.3403015136719,52.908199310302734,492.90081787109375,354.9853210449219,507.2959899902344,281.4486389160156,505.85650634765625,324.70550537109375,690.11474609375,193.4929962158203,577.1126098632812,284.3324279785156,651.247802734375,277.8439025878906,644.7699584960938
8,261.8745422363281,281.4654846191406,261.8745422363281,267.7866516113281,242.4208526611328,277.1458740234375,274.1231689453125,267.06671142578125,222.96714782714844,291.5446472167969,334.6457824707031,295.8642883300781,225.8491668701172,361.3786926269531,419.6656494140625,242.58880615234375,151.6369171142578,423.2934265136719,491.7164001464844,187.15353393554688,53.647918701171875,491.6876220703125,354.8199768066406,503.2066345214844,281.3282470703125,502.4866638183594,325.2791748046875,683.9112548828125,192.70582580566406,579.5201416015625,289.2538146972656,794.0618896484375,280.60772705078125,647.1943969726562
9,268.10125732421875,278.1487121582031,265.2181396484375,266.6318359375,248.6402587890625,269.51104736328125,221.97149658203125,289.6655578613281,222.69227600097656,289.6655578613281,337.2958679199219,294.7041931152344,229.1792755126953,358.0469970703125,420.18524169921875,242.15847778320312,157.10154724121094,419.2303771972656,485.7760009765625,188.8929443359375,56.91352081298828,492.65045166015625,356.7568359375,504.8870849609375,284.67913818359375,504.16729736328125,322.88031005859375,684.118408203125,194.58197021484375,576.8675537109375,286.8414611816406,803.60595703125,283.9583435058594,645.2489624023438
